cat,IPCM0EL
clss,COV
ent,KYOTOGHG
gwp,AR4
note,"Share of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPCM0EL_COV_PC_HISTORY_PRIMAPHIST21
tpe,PC
unit,MtCO2eq/MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AGO,0.9999999982249201,0.9999999935219166,0.9999999851976031,0.9999999676585017,0.9999999184980966,0.9999998311060408,0.9999992249956158,0.9999982508133153,0.9999969197458465,0.9999949656913047,0.9999894428989874,0.9999719694709607,0.9999405863547648,0.9999077726857973,0.9998619930076379,0.999745124049151,0.9997356854267819,0.9997068947324654,0.9996583338653298,0.9996350736386602,0.999629452512534,0.9996327961890679,0.999608582658552,0.9995630506458196,0.9995331170136301,0.9995192766745195,0.9994928089009951,0.9994618579964604
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.5655286107778749,0.684828237985019,0.5745206504702058,0.5506097755464577,0.5432519607685126,0.5386396398691413,0.5195727058737392,0.5313816880743152,0.5716789726893525,0.5828236008157094,0.4555947326884049,0.49338699401093,0.49751048409071835,0.5114383719343619,0.522841138953505,0.5231207739678454,0.5159677500264652,0.5429286852428159,0.5597703092130369,0.5746554501936948,0.5866416496647882,0.6150115824883235,0.5958498826409946,0.5987081086837651,0.6233314089816048,0.5971041182380499,0.6021606713009514,0.6075074083922041
AND,0.979937830033872,0.97981042321363,0.9805831171949878,0.9811685040369635,0.9815071118464664,0.9828519757947285,0.9834525686578388,0.9837435290838968,0.9839287204863623,0.9840298162454019,0.9840863376501451,0.9828083885616107,0.9817061196106912,0.9803083832513121,0.9793864880718496,0.9781863989048764,0.9756906958506879,0.9736974413510944,0.9719192459983033,0.9695769222947681,0.9680806151297834,0.9660361625560954,0.9643088797675781,0.962998517193906,0.9602719291043371,0.9613776581007638,0.9594824632011255,0.9581552683321151
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.9443286153326285,0.9431583933887722,0.9417793537009622,0.9466720613225365,0.9483081517674491,0.9467113854675245,0.9368557006087731,0.9363257363126335,0.9484885961060385,0.9443995123065952,0.9569397827330168,0.9572933757852194,0.9528203430959056,0.9620609769633068,0.9662848673213119,0.9680168540590415,0.9702284793860596,0.9726501955128141,0.9754764652950848,0.9760817323899237,0.9776946067634519,0.979654580902514,0.9815602281868808,0.9820111732836249,0.9853376670220143,0.9858858840353282,0.9859939426727515,0.9854892758224348
ARG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARM,0.9466518457321842,0.9423141319522127,0.9543177423105893,0.9153088867055216,0.9158194477055152,0.9185603809000437,0.8876229138632563,0.8865140496849748,0.8725285706106685,0.8297309402136503,0.776859124387283,0.7770490528354811,0.7533028646990294,0.7707004998792287,0.7717955698378095,0.7986041600340148,0.7783441676991302,0.8005054370455557,0.8188903505374764,0.8050968329544458,0.8138827094083395,0.825902998482102,0.8290160006128967,0.8130588555118626,0.8131089770294266,0.8182837935622584,0.7977083662475761,0.8160799863735559
